x,random+software+w_8,random+software+w_64,random+universal+w_8,random+universal+w_64,bmc+formal+w_8,bmc+formal+w_64,bmc+universal+w_8,bmc+universal+w_64
4,0.0107855727,0.013277225900000002,0.0205519261,0.023133131300000002,0.062083589999999994,0.210771392,0.208607055,0.929450622
8,0.0189251863,0.019433772699999997,0.0341603068,0.0382748362,0.501071643,1.5891463819999998,2.825627845,13.331981998
16,0.0305306286,0.0321877555,0.063554832,0.07284341609999999,15.763240817,29.640471283,,
32,0.0563867371,0.0635335053,0.1194859461,0.12292527700000001,695.598089491,,,
64,0.1077473442,0.11706507840000002,0.2233982541,0.2168324593,,,,
128,0.20909339909999997,0.22176796999999998,0.4260074185,0.409055443,,,,
256,0.4279738846000001,0.4324704631000001,0.8141630849999999,0.7858723630000001,,,,
512,0.8121431097,0.8512839797,1.5834867834000002,1.6040720344,,,,
1024,1.5699412831,1.6382619995,3.1555752546,3.1531196078000003,,,,
2048,3.0936254659999998,3.1478821224000004,6.3667887796,6.3903006448,,,,
