x,random+software+w_8,random+software+w_64,random+universal+w_8,random+universal+w_64,bmc+formal+w_8,bmc+formal+w_64,bmc+universal+w_8,bmc+universal+w_64
4,0.0027415185000000003,0.0030508597,0.0049648095,0.005344746,0.067265593,0.217319987,0.100378521,0.742897685
8,0.0036689522999999997,0.0034079743,0.0060700002999999995,0.006803849900000001,0.8040351419999999,1.586594018,1.6724906529999999,5.3057288609999995
16,0.0040575512000000005,0.005514882400000001,0.0075962742,0.009016577999999999,18.333434751,17.412917765000003,,
32,0.0055179964,0.0067759345,0.0114730908,0.0130101815,697.9026577430001,,,
64,0.0077885590000000005,0.0080490861,0.016940135100000003,0.0216761161,,,,
128,0.010609397599999999,0.0114113586,0.027783677399999998,0.031895522,,,,
256,0.0162548797,0.020156658500000004,0.0485546069,0.0549764061,,,,
512,0.026525125,0.0306396407,0.09174193120000002,0.09472893069999999,,,,
1024,0.0466231124,0.0532839072,0.16940058859999998,0.17879174460000002,,,,
2048,0.0884186013,0.09302522049999999,0.3135718431,0.3309255303,,,,
4096,0.15741298280000002,0.164130679,0.5854560688,0.5969653942,,,,
