SBY  0:06:07 [cover] Copy '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/TileAndMemTop.sv' to '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/cover/src/TileAndMemTop.sv'.
SBY  0:06:07 [cover] Copy '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/SignalTracker.sv' to '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/cover/src/SignalTracker.sv'.
SBY  0:06:07 [cover] engine_0: smtbmc boolector
SBY  0:06:07 [cover] base: starting process "cd cover/src; yosys -ql ../model/design.log ../model/design.ys"
SBY  0:06:25 [cover] base: finished (returncode=0)
SBY  0:06:26 [cover] smt2: starting process "cd cover/model; yosys -ql design_smt2.log design_smt2.ys"
SBY  0:06:35 [cover] smt2: finished (returncode=0)
SBY  0:06:35 [cover] engine_0: starting process "cd cover; yosys-smtbmc -s boolector --presat --unroll -c --noprogress -t 100  --append 0 --dump-vcd engine_0/trace%.vcd --dump-vlogtb engine_0/trace%_tb.v --dump-smtc engine_0/trace%.smtc model/design_smt2.smt2"
SBY  0:06:35 [cover] engine_0: ##   0:00:00  Solver: boolector
SBY  0:06:47 [cover] engine_0: ##   0:00:12  Checking cover reachability in step 0..
SBY  0:06:48 [cover] engine_0: ##   0:00:13  Checking cover reachability in step 1..
SBY  0:06:49 [cover] engine_0: ##   0:00:13  Checking cover reachability in step 2..
SBY  0:06:49 [cover] engine_0: ##   0:00:14  Checking cover reachability in step 3..
SBY  0:06:50 [cover] engine_0: ##   0:00:15  Checking cover reachability in step 4..
SBY  0:06:50 [cover] engine_0: ##   0:00:15  Checking cover reachability in step 5..
SBY  0:06:51 [cover] engine_0: ##   0:00:16  Checking cover reachability in step 6..
SBY  0:06:52 [cover] engine_0: ##   0:00:16  Checking cover reachability in step 7..
SBY  0:06:53 [cover] engine_0: ##   0:00:17  Checking cover reachability in step 8..
SBY  0:06:53 [cover] engine_0: ##   0:00:18  Checking cover reachability in step 9..
SBY  0:06:55 [cover] engine_0: ##   0:00:19  Checking cover reachability in step 10..
SBY  0:06:56 [cover] engine_0: ##   0:00:21  Checking cover reachability in step 11..
SBY  0:06:59 [cover] engine_0: ##   0:00:23  Checking cover reachability in step 12..
SBY  0:07:03 [cover] engine_0: ##   0:00:28  Checking cover reachability in step 13..
SBY  0:07:07 [cover] engine_0: ##   0:00:32  Reached cover statement at SignalTracker.sv:2096.22-2097.85 ($cover$SignalTracker.sv:2096$9885) in step 13.
SBY  0:07:07 [cover] engine_0: ##   0:00:32  Writing trace to VCD file: engine_0/trace0.vcd
SBY  0:07:16 [cover] engine_0: ##   0:00:41  Writing trace to Verilog testbench: engine_0/trace0_tb.v
SBY  0:07:17 [cover] engine_0: ##   0:00:41  Writing trace to constraints file: engine_0/trace0.smtc
SBY  0:07:17 [cover] engine_0: ##   0:00:42  Checking cover reachability in step 13..
SBY  0:07:18 [cover] engine_0: ##   0:00:42  Reached cover statement at SignalTracker.sv:2099.22-2100.83 ($cover$SignalTracker.sv:2099$9886) in step 13.
SBY  0:07:18 [cover] engine_0: ##   0:00:42  Writing trace to VCD file: engine_0/trace1.vcd
SBY  0:07:27 [cover] engine_0: ##   0:00:52  Writing trace to Verilog testbench: engine_0/trace1_tb.v
SBY  0:07:27 [cover] engine_0: ##   0:00:52  Writing trace to constraints file: engine_0/trace1.smtc
SBY  0:07:28 [cover] engine_0: ##   0:00:52  Checking cover reachability in step 13..
SBY  0:07:28 [cover] engine_0: ##   0:00:53  Checking cover reachability in step 14..
SBY  0:07:32 [cover] engine_0: ##   0:00:57  Reached cover statement at SignalTracker.sv:3242.22-3243.98 ($cover$SignalTracker.sv:3242$10267) in step 14.
SBY  0:07:32 [cover] engine_0: ##   0:00:57  Writing trace to VCD file: engine_0/trace2.vcd
SBY  0:07:42 [cover] engine_0: ##   0:01:07  Writing trace to Verilog testbench: engine_0/trace2_tb.v
SBY  0:07:42 [cover] engine_0: ##   0:01:07  Writing trace to constraints file: engine_0/trace2.smtc
SBY  0:07:43 [cover] engine_0: ##   0:01:07  Checking cover reachability in step 14..
