SBY 15:10:52 [cover] Copy '/home/kevin/d/rfuzz/formal/FFTSmall/FFTSmall.v' to '/home/kevin/d/rfuzz/formal/FFTSmall/cover/src/FFTSmall.v'.
SBY 15:10:52 [cover] Copy '/home/kevin/d/rfuzz/formal/FFTSmall/FFTSmall_formal.sv' to '/home/kevin/d/rfuzz/formal/FFTSmall/cover/src/FFTSmall_formal.sv'.
SBY 15:10:52 [cover] engine_0: smtbmc boolector
SBY 15:10:52 [cover] base: starting process "cd cover/src; yosys -ql ../model/design.log ../model/design.ys"
SBY 15:10:53 [cover] base: finished (returncode=0)
SBY 15:10:53 [cover] smt2: starting process "cd cover/model; yosys -ql design_smt2.log design_smt2.ys"
SBY 15:10:53 [cover] smt2: finished (returncode=0)
SBY 15:10:53 [cover] engine_0: starting process "cd cover; yosys-smtbmc -s boolector --presat --unroll -c --noprogress -t 200  --append 0 --dump-vcd engine_0/trace%.vcd --dump-vlogtb engine_0/trace%_tb.v --dump-smtc engine_0/trace%.smtc model/design_smt2.smt2"
SBY 15:10:53 [cover] engine_0: ##   0:00:00  Solver: boolector
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Checking cover reachability in step 0..
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Checking cover reachability in step 1..
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Checking cover reachability in step 2..
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Checking cover reachability in step 3..
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:255.32-256.31 ($cover$FFTSmall_formal.sv:255$806) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:256.32-257.31 ($cover$FFTSmall_formal.sv:256$807) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:258.32-259.31 ($cover$FFTSmall_formal.sv:258$809) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:261.32-262.31 ($cover$FFTSmall_formal.sv:261$812) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:263.32-264.31 ($cover$FFTSmall_formal.sv:263$814) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:265.32-266.31 ($cover$FFTSmall_formal.sv:265$816) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:267.32-268.31 ($cover$FFTSmall_formal.sv:267$818) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:269.32-270.31 ($cover$FFTSmall_formal.sv:269$820) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:271.32-272.31 ($cover$FFTSmall_formal.sv:271$822) in step 3.
